depth 0 : train=0.48735 , val=0.48938, test=0.48614
depth 1 : train=0.61463 , val=0.61543, test=0.61450
depth 2 : train=0.64640 , val=0.64645, test=0.64693
depth 3 : train=0.66615 , val=0.66669, test=0.66669
depth 4 : train=0.67379 , val=0.67444, test=0.67477
depth 5 : train=0.68219 , val=0.68302, test=0.68115
depth 6 : train=0.70736 , val=0.70810, test=0.70641
depth 7 : train=0.72279 , val=0.72297, test=0.72181
depth 8 : train=0.73305 , val=0.73213, test=0.73191
depth 9 : train=0.74205 , val=0.74058, test=0.73971
depth 10 : train=0.75739 , val=0.75467, test=0.75420
depth 11 : train=0.77388 , val=0.76979, test=0.77016
depth 12 : train=0.79204 , val=0.78725, test=0.78543
depth 13 : train=0.80810 , val=0.80119, test=0.79999
depth 14 : train=0.82440 , val=0.81404, test=0.81361
depth 15 : train=0.83845 , val=0.82724, test=0.82621
depth 16 : train=0.84937 , val=0.83591, test=0.83598
depth 17 : train=0.85753 , val=0.84294, test=0.84390
depth 18 : train=0.86322 , val=0.84673, test=0.84746
depth 19 : train=0.86682 , val=0.84961, test=0.85025
depth 20 : train=0.86846 , val=0.85122, test=0.85139
depth 21 : train=0.86944 , val=0.85178, test=0.85195
depth 22 : train=0.87022 , val=0.85232, test=0.85240
depth 23 : train=0.87058 , val=0.85262, test=0.85271
depth 24 : train=0.87062 , val=0.85266, test=0.85273
depth 25 : train=0.87062 , val=0.85266, test=0.85273
depth 26 : train=0.94120 , val=0.89135, test=0.89124
depth 27 : train=0.94122 , val=0.89132, test=0.89122
